"","SRR6145425","SRR6145429","SRR6145431","SRR6145433","SRR6145436","SRR6145443"
"ENSG00000234012.9",0,0,0,0,0,0
"ENSG00000224156.10",0,0,0,0,0,0
"ENSG00000223654.3",0,0,0,0,0,0
"ENSG00000229767.9",0,0,0,0,0,0
"ENSG00000231350.5",0,0,0,0,0,0
"ENSG00000237108.1",0,0,0,0,0,0
"ENSG00000228147.5",0,0,0,0,0,0
"ENSG00000266548.1",0,0,0,0,0,0
"ENSG00000231179.9",0,0,0,0,0,0
"ENSG00000230616.4",0,0,0,0,0,0
"ENSG00000233965.1",0,0,0,0,0,0
"ENSG00000225228.2",0,0,0,0,0,0
"ENSG00000265849.1",0,0,0,0,0,0
"ENSG00000237889.11",0,0,0,0,0,0
"ENSG00000228978.2",0,0,0,0,0,0
"ENSG00000231314.7",0,0,0,0,0,0
"ENSG00000235915.8",0,0,0,0,0,0
"ENSG00000236315.6",0,0,0,0,0,0
"ENSG00000238126.1",0,0,0,0,0,0
"ENSG00000266231.1",0,0,0,0,0,0
"ENSG00000233345.9",0,0,0,0,0,0
"ENSG00000227861.9",0,0,0,0,0,0
"ENSG00000264619.6",0,0,0,0,0,0
"ENSG00000236912.1",0,0,0,0,0,0
"ENSG00000238203.8",0,0,0,0,0,0
"ENSG00000264393.1",0,0,0,0,0,0
"ENSG00000231116.9",0,0,0,0,0,0
"ENSG00000224979.6",0,0,0,0,0,0
"ENSG00000226704.6",0,0,0,0,0,0
"ENSG00000235941.5",0,0,0,0,0,0
"ENSG00000232804.5",0,0,0,0,0,0
"ENSG00000263864.1",0,0,0,0,0,0
"ENSG00000266300.1",0,0,0,0,0,0
"ENSG00000234728.9",0,0,0,0,0,0
"ENSG00000228691.6",0,0,0,0,0,0
"ENSG00000235336.8",0,0,0,0,0,0
"ENSG00000232266.1",0,0,0,0,0,0
"ENSG00000232045.7",0,0,0,0,0,0
"ENSG00000266653.1",0,0,0,0,0,0
"ENSG00000229341.2",0,0,0,0,0,0
"ENSG00000238056.9",0,0,0,0,0,0
"ENSG00000240389.5",0,0,0,0,0,0
"ENSG00000236649.10",0,0,0,0,0,0
"ENSG00000236873.9",0,0,0,0,0,0
"ENSG00000223767.5",0,0,0,0,0,0
"ENSG00000231268.9",0,0,0,0,0,0
